Strike,Call,Strike,Put
330.000,50925,310.000,82433
325.000,35570,315.000,62944
340.000,30970,290.000,55917
335.000,27140,240.000,51091
339.000,23269,300.000,50189
328.000,19569,270.000,49875
320.000,16564,320.000,42615
326.000,16462,255.000,38066
327.000,16121,305.000,32473
318.000,14427,230.000,31794
323.000,13821,297.000,29281
324.000,13578,295.000,25216
322.000,13507,322.000,23786
310.000,13485,306.000,23599
329.000,12428,309.000,21563
331.000,10605,285.000,21087
332.000,10402,291.000,18223
333.000,10097,311.000,17435
334.000,9912,318.000,17298
315.000,9371,317.000,14409
321.000,8409,275.000,14066
341.000,5834,314.000,13979
316.000,5083,321.000,13346
350.000,4692,294.000,13113
338.000,4185,308.000,13102
336.000,3909,273.000,12919
313.000,3881,265.000,12842
319.000,3841,307.000,11637
337.000,3528,312.000,11553
305.000,3454,280.000,11391
370.000,3398,277.000,11259
360.000,2524,250.000,11006
345.000,2473,325.000,10932
317.000,2341,316.000,10573
311.000,2221,292.000,10134
342.000,2215,302.000,10131
312.000,1973,245.000,10021
314.000,1753,319.000,9743
304.000,1687,301.000,9220
349.000,1427,200.000,9073
365.000,1399,324.000,8842
375.000,1328,313.000,8280
300.000,1287,304.000,8151
390.000,1215,323.000,7563
308.000,1122,303.000,7247
309.000,1110,260.000,7093
343.000,1106,284.000,5964
355.000,993,298.000,5601
347.000,735,299.000,5587
306.000,723,326.000,5328
303.000,661,286.000,4935
307.000,655,289.000,4774
302.000,651,327.000,4385
295.000,608,278.000,3510
344.000,604,271.000,3451
301.000,553,288.000,3112
346.000,526,328.000,3088
380.000,522,282.000,2809
385.000,466,283.000,2728
348.000,411,190.000,2694
290.000,405,296.000,2626
351.000,325,279.000,2573
297.000,286,287.000,2549
292.000,269,293.000,2486
298.000,267,195.000,2466
299.000,250,235.000,2392
296.000,237,185.000,2286
293.000,232,272.000,2251
285.000,212,225.000,2159
294.000,186,220.000,2111
284.000,134,210.000,1992
354.000,125,330.000,1984
352.000,81,281.000,1936
250.000,78,205.000,1792
220.000,76,215.000,1459
280.000,72,160.000,1404
270.000,63,155.000,1318
275.000,54,175.000,1209
210.000,52,276.000,1166
288.000,51,329.000,925
353.000,47,274.000,787
289.000,42,332.000,619
287.000,42,331.000,552
286.000,42,180.000,322
260.000,39,333.000,277
240.000,33,340.000,253
255.000,33,335.000,211
235.000,27,165.000,106
200.000,26,336.000,95
283.000,24,350.000,87
291.000,24,170.000,83
225.000,21,356.000,83
279.000,20,339.000,53
357.000,19,337.000,49
265.000,17,334.000,40
230.000,16,353.000,30
281.000,16,354.000,29
274.000,14,357.000,23
155.000,10,351.000,12
282.000,10,341.000,11
278.000,6,343.000,8
245.000,4,345.000,5
271.000,3,338.000,5
160.000,2,390.000,5
277.000,2,344.000,4
175.000,2,346.000,4
165.000,1,385.000,1
276.000,1,360.000,1
170.000,1,365.000,1
190.000,1,375.000,0
185.000,0,380.000,0
180.000,0,348.000,0
356.000,0,370.000,0
195.000,0,355.000,0
205.000,0,352.000,0
215.000,0,349.000,0
273.000,0,347.000,0
272.000,0,342.000,0
395.000,0,395.000,0
