SPY (SPDR S&P 500 ETF Trust),323.18,-0.93
Jul 28 2020 @ 08:59 ET,Bid,322.28,Ask,322.32,Size,5x47,Vol,48292970
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/27/2020,SPY200727C00155000,168.26,2.785,167.92,168.62,2,0.02,1,0,0,155.000,SPY200727P00155000,0.04,0,0,0.01,0,24.001,-0.0003,0,224
07/27/2020,SPY200727C00160000,0,0,162.92,163.62,0,0.02,1,0,0,160.000,SPY200727P00160000,0.02,0,0,0.01,0,22.001,-0.0002,0,6
07/27/2020,SPY200727C00165000,148.75,0,157.92,158.62,0,0.02,1,0,0,165.000,SPY200727P00165000,0.01,0,0,0.01,0,22.001,-0.0003,0,702
07/27/2020,SPY200727C00170000,0,0,152.92,153.62,0,0.02,1,0,0,170.000,SPY200727P00170000,0.01,0,0,0.01,0,20.001,-0.0002,0,4
07/27/2020,SPY200727C00175000,0,0,147.91,148.62,0,0.02,1,0,0,175.000,SPY200727P00175000,0.02,0,0,0.01,0,20.001,-0.0003,0,67
07/27/2020,SPY200727C00180000,0,0,142.91,143.62,0,0.02,1,0,0,180.000,SPY200727P00180000,0.02,0,0,0.01,0,18.7771,-0.0003,0,61
07/27/2020,SPY200727C00185000,0,0,137.91,138.62,0,0.02,1,0,0,185.000,SPY200727P00185000,0.02,0,0,0.01,0,18.001,-0.0003,0,100
07/27/2020,SPY200727C00190000,0,0,132.92,133.62,0,0.02,1,0.0002,0,190.000,SPY200727P00190000,0.02,0,0,0.01,0,17.001,-0.0003,0,801
07/27/2020,SPY200727C00195000,0,0,127.91,128.62,0,0.02,1,0,0,195.000,SPY200727P00195000,0.01,0,0,0.01,0,16.001,-0.0002,0,303
07/27/2020,SPY200727C00200000,123.23,2.755,122.92,123.62,8,0.02,1,0.0001,0,200.000,SPY200727P00200000,0.01,0,0,0.01,0,16.001,-0.0005,0,526
07/27/2020,SPY200727C00205000,0,0,117.92,118.62,0,0.02,1,0.0002,0,205.000,SPY200727P00205000,0.01,0,0,0.01,0,14.6882,-0.0003,0,1383
07/27/2020,SPY200727C00210000,0,0,112.92,113.62,0,0.02,1,0.0001,0,210.000,SPY200727P00210000,0.03,0,0,0.01,0,14.001,-0.0003,0,473
07/27/2020,SPY200727C00215000,0,0,107.92,108.62,0,0.02,1,0.0002,0,215.000,SPY200727P00215000,0.02,0,0,0.01,0,13.001,-0.0003,0,39
07/27/2020,SPY200727C00220000,82.08,0,102.91,103.62,0,0.02,1,0.0002,0,220.000,SPY200727P00220000,0.01,0,0,0.01,0,12.4796,-0.0003,0,282
07/27/2020,SPY200727C00225000,0,0,97.92,98.62,0,0.02,1,0.0002,0,225.000,SPY200727P00225000,0.01,0,0,0.01,0,12.001,-0.0005,0,250
07/27/2020,SPY200727C00230000,0,0,92.92,93.61,0,0.02,1,0.0003,0,230.000,SPY200727P00230000,0.01,0,0,0.01,0,11.001,-0.0003,0,520
07/27/2020,SPY200727C00235000,0,0,87.93,88.61,0,0.02,1,0.0003,0,235.000,SPY200727P00235000,0.01,0,0,0.01,0,10.3864,-0.0004,0,333
07/27/2020,SPY200727C00240000,0,0,82.92,83.61,0,0.02,1,0.0003,0,240.000,SPY200727P00240000,0.01,0,0,0.01,0,10.001,-0.0005,0.0001,756
07/27/2020,SPY200727C00245000,0,0,77.93,78.61,0,0.02,1,0.0015,0,245.000,SPY200727P00245000,0.01,0,0,0.01,0,9.4734,-0.0007,0.0001,180
